"user_id","image_paths","claim_status","issue_type","object_part","evidence_standard_met","severity","risk_flags","overall_confidence","image_confidence","claim_confidence","evidence_confidence","risk_confidence","explanation","health_score","fraud_score"
"user_001","images/sample/case_001/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_007","images/sample/case_004/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_006","images/sample/case_006/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_008","images/sample/case_008/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_009","images/sample/case_009/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_011","images/sample/case_011/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_012","images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_018","images/sample/case_013/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_020","images/sample/case_014/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_015","images/sample/case_015/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_030","images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_031","images/sample/case_017/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_032","images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_033","images/sample/case_019/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_034","images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
